company_name,date,country,revenue,industry,data volume,Data Type - None,Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type - Personal Information,Data Type - Government Information,Data Type - Medical Information
Sindicato de Enfermería (SATSE),2024-03-16,Spain,40,Healthcare,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGL,2024-03-19,China,,Energy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benetton Group,2024-04-04,Italy,1300,Fashion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jack Doheny Company,2024-04-14,United States,67,Industrial Services,572,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Aftrp,2024-02-17,France,16,Education & Non-Profit,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSI,2024-02-17,United States,584,Technology Services,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intersport,2024-04-04,France,3400,Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chicony Electronics,2024-05-01,Taiwan,3300,Electronics,4,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,0,0
Khandelwal Laboratories Pvt,2024-08-03,India,537,Pharmaceuticals,126,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Ferraro Group,2024-08-19,Italy,17,Public Relations,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miki Travel,2024-03-16,United Kingdom,592,Travel & Tourism,31,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0
