company_name,address,date_of_attack,revenue,industry ,data_volume,data_description
HUNDHAUSEN,"Bäckerstr. 4, 57076 Siegen. Germany",10.07.2024,$150M,Commercial & Residential Construction,650 GB,"Corporate confidential data: projects, drawings, financial documents\payrolls, correspondence etc."
LARLYN,"540 Wharncliffe Rd S Ste 200, London, Ontario, N6J 2N4, Canada",17.06.2023,$256.8M,Real Estate,2.4 TB,N/A
THE WASSERTROM COMPANY,"4500 E Broad St, Columbus, Ohio, 43213, United States",10.07.2023,$850.6M,Food Services,35 GB,HUMAN RESOURCES
ISOMETRIX,"44 Milton Ave Ste 106, Alpharetta, Georgia, 30009, United States",22.07.2024,$45.8M,Business Services,126 GB,"Personal identifiable information, employees and executives personal files, financial data, customer information, contracts\NDA, corporate correspondence, software development data etc."
SCANSOURCE INC.,"6 Logue Ct, Greenville, South Carolina, 29615, United States",10.07.2023,$66.1M,IT Services,39 GB,"Accounting, HR, Secure documents"
NATCO,"346 W Cerritos Ave, Glendale, California, 91204, United States",17.06.2023,$38.5M,Business Services,111 GB,"Employees personal and corporate data, customer information, corporate correspondence, database backups, etc."
QUAKER WINDOWS & DOORS,"504 S Hwy 63, Freeburg, Missouri, 65035, United States",12.01.2024,$271.6M,Furniture Retail,2.4 TB,N/A
ESPACK EUROLOGISTICA,"4 Calle De O'donnell, Madrid, Madrid, 28009, Spain",04.06.2024,$17.3M,Business Services,11 GB,"Employees and executives personal and corporate data, financials, database exports, etc."
THE HURLEY GROUP,"55 Church St Ste 204, New Haven, Connecticut, 06510, United States",18.12.2023,$17.2M,Real Estate,63 GB,Corporate Data
"COASTAL CARGO COMPANY, LLC","3500 Terminal Drive New Orleans, LA, 70115, USA",18.04.2024,$36.6M,"Transportation, Logistics",3 GB,N/A
REA MAGNET WIRE,"3400 E Coliseum Blvd Ste 200, Fort Wayne, Indiana, United States",09.07.2024,$100M,Electronics,100 GB,"Personal identifiable information, employees personal files, corporate agreements, projects, financial documents, personnel data, corporate correspondence, etc."
CONTENDERBOATS,"1820 SE 38th Ave, Homestead, Florida, 33035, United States",28.03.2024,$51.8M,Marine ,65 GB,"Financial documents, Personal identification information. engineering documents and drawings, corporate correspondence, user personal folders, etc."
THOMASLLOYD,"427 Bedford Rd, Pleasantville, New York, 10570, United States",17.09.2023,$66.1M,Finance,2.4 TB,"Personal Identifiable Information, employees\executives personal data, corporate confidential documents, customer information, financial documents, corporate correspondence, database backups, etc."
MILLIMAGES,"88 Rue De La Folie Méricourt, Paris, Ile-de-France, 75011, France",07.07.2024,$12.6M,Broadcasting,147 GB,"Personal identifiable information, corporate confidential agreements, contracts, financial documents, personnel data, employees personal files, legal documents, corporate correspondence, etc."
