company_name,date_of_attack,revenue,data_volume,country,industry,Data Type - Databases,Data type - Applications,Data Type - Emails,Data Type - Source Code,Data Type- Designs,Data Type - Financial Information,Data Type -Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type -  Government Information,Data Type - Medical Information,Data Type - Personal Information,Data Type - Others,attacker
FBT INC.,7/7/2024,70.8,180,United States,Transportation & Logistics,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,cactus
VERCO,22/7/2024,17.5,592,United Kingdom,Manufacturing,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
REGULATOR MARINE,13/5/2024,28.1,630,United States,Manufacturing,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,cactus
BALBOA BAY RESORT,15/9/2024,101,790,United States,Hospitality,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
EBIR,18/4/2024,5,2457.6,Spain,Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
WKW GROUP,12/1/2024,707,2457.6,Germany,Manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
SCANDA,19/5/2024,23.6,387,Mexico,Business Services,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,cactus
SA GLOBAL,18/4/2024,243.7,41,Canada,IT Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
EXCO,28/8/2024,76.4,251,Germany,IT Services,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
REGENCY FURNITURE,15/4/2024,369,300,United States,Retail,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,cactus
IDDINK GROUP,13/5/2024,80.1,1024,Netherlands,IT Services,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,cactus
MCALVAIN,15/4/2024,199,1228.8,United States,Construction,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
BELL GROUP,12/1/2024,103.6,9,United Kingdom,Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
"INTERCITY INVESTMENTS, INC.",18/1/2024,31.1,2457.6,United States,Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
SKY LIGHT,9/7/2024,26.4,50,Denmark,Manufacturing,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
SCHUETTE METALS,23/5/2024,28.9,280,United States,Industrial Machinery & Equipment,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
PBS SYSTEMS,12/1/2024,71.5,202,Canada,Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
CONCORDE GROUP,18/4/2024,150,2,Canada,Hospitality ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
GLYN MARAIS,7/7/2024,11.3,105,South Africa,Law,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,cactus
DESKCENTER AG,7/7/2024,25.9,224,Germany,IT Services,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,cactus
DEMOS GROUP,7/8/2024,37.5,870,France,Professional Training and Coaching,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
QOSINA,26/3/2024,37.9,375,United States,Manufacturing,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,cactus
BEST TRANSPORTATION,15/4/2024,24.8,24,United States,Transportation & Logistics,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,cactus
CHAMPEAU,16/9/2024,25.5,130,Canada,Manufacturing,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,cactus
SIMSON MAXWELL,10/9/2024,29.4,357,Canada,Industrial Machinery & Equipment,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
