company name,date,country,revenue,industry,data volume,data description
Manuchar,2024-05-29 03:14:45,be,2800000000,,289582709911,All Data
Bank Rakyat,2024-09-14 00:41:11,my,1400000000,,463202978851,All Data
Gallup McKinley County Schools,2024-01-18 18:47:50,us,72000000,,Undisclosed,
Akkanat Holding,2024-08-20 15:29:34,tr,,,623853980322,All Data
MS Ultrasonic Technology Group,2024-07-15 21:31:18,de,257000000,,46513430,"HR Confidential, All Data, Timo Steimer - CEO"
Avianor Aircraft,2024-02-11 03:12:28,ca,21500000,,849693334338,All Data
WheelerShip,2024-07-02 17:59:11,us,5000000,,9541332474,All Data
Kenya Urban Roads Authority,2024-07-14 03:17:16,ke,5000000,,18411039076,Kenya Urban Roads Authority
Betances Health Center,2024-07-24 23:10:57,us,5000000,,124654451546,All Data
Custom Security Systems,2024-09-06 06:59:03,us,16000000,,152301054052,All data
Crystal Lake Health Center,2023-11-21 23:50:33,us,16700000,,137570878293,"Samples, All the Data"
St. Johns River Water Management District,2024-03-08 13:00:01,us,135500000,,292708680897,"Salaries, Audits, All the Data"
Groupe Goyette,2024-02-11 03:13:32,ca,25800000,,238582615277,All Data
Aero Tec Laboratories,2024-05-14 05:22:23,us,53000000,,315889707386,All Data
Concello de Teo,2024-02-16 15:53:31,es,43600000,,65368856937,All Data
Griffin Dewatering,2024-03-06 00:25:00,us,32000000,,68744114832,"Database, All Data"
"Gunning & LaFazia, Inc.",2024-01-04 21:38:16,us,5000000,,23199595,"All Data, Cybersecurity"
HSI,2024-03-19 03:57:55,es,,,Undisclosed,
New Electric,2024-09-18 00:05:32,us,70000000,,Undisclosed,
Blackstone Valley Community Health Care,2023-12-19 07:59:02,us,30600000,,16633055518,All Data
Impact Energy Services,2024-02-11 03:13:51,ca,12000000,,32096875268,All Data
Sysmex,2024-03-29 18:45:41,jp,3000000000,,1755992845,"Database, CEO, Cybersecurity, Confidential documents, All Data, Technology, Strategy, Employees"
Fractalia Group,2024-08-06 20:25:50,es,100000000,,153039434568,All Data
Exela Technologies,2024-04-03 21:35:16,us,1100000000,,275288115173,"Accounting, Lawsuits, Strategy, Banctec, All Data, CFO, CEO, Employees, Lockheed Martin, Customers, Confidential Documents, Offshore, FBI Contract, Cyber Sec, Exela Tech"
Treasury of Cote d'Ivoire,2024-05-13 19:48:24,ci,392000000,,Undisclosed,
Therapeutic Health Services,2024-03-20 01:38:37,us,17600000,,32836744,"Client's Data, Part II, proofs, All Data, Client's Data, Part I, Passports"
BeneCare Dental Insurance,2024-04-04 02:12:38,us,35200000,,72229,"Call Recordings, All Data, Confidential, Clients, Subscribers Samples"
Richelieu Foods,2024-05-08 20:48:21,us,303000000,,18322025,"Confidential Formula, HR Confidential Documentation, Suppliers, All Data, Project, Balance Sheet"
Physical & Occupational Therapy Examiners of Texas,2024-07-25 17:58:22,us,5000000,,139139484816,"Military, All Data"
ComNet Communications,2024-07-15 21:29:33,us,300000000,,106126256,"Confidential Telecom RFP Drawings & Specifications, All Data, Capital One & First United Bank & NFCU Office Drawings, Requested Files, Mercedes-Benz Office Drawings"
MRI,2024-06-16 00:42:19,us,25000000,,15455121755,"ALL Data, FINANCE, PAYMENT_DATA, IT, PROJECT"
Toyota Brazil,2024-04-13 18:09:24,br,1700000000,,651565440,"Toyota Security Guideline, Network, Finance, All Data, Contracts, Confidential"
Tiete Automobile,2024-03-16 15:14:08,br,26200000,,7949357,"All Data, Some Samples"
SSS Australia,2024-04-26 18:50:43,au,17000000,,67073823449,All Data
Kleven Construction,2024-07-31 23:40:01,us,13900000,,143170354,"Accounting, HR, Sage, All Data, Medical, Healthcare and Insurance, IT, Users data, Faxes"
Greater Napanee,2024-02-17 16:53:51,ca,53100000,,82905379629,All Data
HB Construction,2024-09-13 20:58:09,us,70000000,,505217616776,All Data
Thorite Group,2024-03-16 15:14:01,gb,69700000,,307195436980,"Samples, All Data"
Medjet,2023-11-03 23:15:47,us,10500000,,79536831966,All Data
Indika Energy,2024-07-10 01:22:44,id,3000000000,,Undisclosed,
Austal USA,2023-12-02 01:00:04,us,1000000000,,22195999241,"PDSS Recruiting, Transactions (2021-2023), Certification Documents, Finance + Forecast, Export Compliance, Job Descriptions, Companies Structure, Engineering Data, All Data"
Cosmocolor,2024-05-30 02:40:00,mx,68800000,,114818026100,All Data
UK Stratton Primary School,2023-10-13 07:01:01,gb,,,47322377986,"All Data, Pupils Details"
Braum's Inc,2024-07-16 21:27:12,us,3000000000,,1076741228,"Product Formula & Recipes, Employee list, All Data, 2024 Contracts & Contractor Insurance, Lawsuits, Requested Files, Drew Braum the CEO of Braum's, Quickbooks Data"
Thermosash Commercial Ltd,2024-01-04 21:38:36,nz,70000000,,1772547130397,All Data
Notions Marketing,2024-04-13 03:06:32,us,250000000,,91077125,"Compensation Agreement, Employees, IT Infrastructure, Confidential Agreement, Competitor Listing, All Data, Strategy, Finance"
Voice Technologies,2024-02-17 16:55:41,gb,5000000,,Undisclosed,
"THK Co., Ltd.",2023-11-15 20:51:41,jp,2500000000,,1712088219,"Accounting Data, All the Data, Publication Part I"
Crownlea Group,2024-07-29 22:41:31,gb,89000000,,0,"All Data, Crownlea Group networks' data breach"
NetOne,2024-08-13 06:59:03,zw,123700000,,98397388547,"Kkapita, Mail Dumps, All Data, Company Data, Executives Mail Dumps"
ICBC (London),2024-09-16 14:16:14,gb,250000000,,36312280441,"KYC, All Data, Financial Crime, Confidentials, Clients, Forecast, Offshore"
DJH Jugendherberge,2024-09-19 01:15:38,,7000000,,29224766835,DJH jugendherberge
Lincoln Office,2023-11-24 21:00:02,us,19400000,,370361544649,All Data
Quálitas México,2024-09-01 15:07:10,mx,3000000000,,5505816312459,All Data
ACE Air Cargo,2024-03-09 19:35:29,us,23800000,,250352742317,All Data
IJM Corporation,2024-02-24 05:36:48,my,985900000,,Undisclosed,
Ausa,2024-03-16 15:12:00,us,70000000,,376375503876,"D601_EPLAN2023, Users_DATA, All Data"
Innovative Automation,2024-01-25 01:59:45,us,24600000,,30230415363,All Data
Axip Energy Services,2024-06-07 13:55:11,us,100000000,,3866200,"Corporate Governance and Disclosure Research Materials, Petrotech Pump, Compliance Certificates, Lawsuits, All Data, Competitors"
Crimson Interactive,2024-08-23 18:33:59,us,50000000,,511097071270,All Data
Nastech,2024-02-17 17:30:43,ae,6300000,,25142950160,All Data
Village of Skokie,2024-03-16 15:13:43,us,16500000,,865398833253,All Data
Lantronix Inc.,2024-07-16 21:27:59,us,150000000,,51232359835,"Penetration Test Report, Encryption DLL Practice, Employee Medical & Background Check Records, Patent Application, All Data, Private Accounting & CFO"
BS&B Safety Systems L.L.C,2024-02-17 16:54:34,,68500000,,5328061978,"All Data, Some samples"
CP Communications,2024-02-17 14:33:33,us,22500000,,63294294116,All Data
Formosa Plastics USA,2024-05-17 11:24:36,us,1200000000,,141913569,"Cyber Attack 2022, Competitive Analysis, Recovery Plans, Pollution, Lawsuits, Hazardous Waste, All Data, Suppliers, Confidential, W-9 Forms, Accounting, Electrical & Motor Drawings, Research and Development"
Panzeri Cattaneo,2024-03-20 01:37:56,it,,,Undisclosed,
ENEA Italy,2024-08-02 06:59:04,it,500000000,,219889003442,All Data
Arrabawn Co-op,2024-05-29 03:17:05,ie,69000000,,385153616882,All Data
LRN,2024-08-03 15:14:05,us,50000000,,745073075997,All Data
Citi Trends,2024-04-04 02:07:31,us,742000000,,520650494148,All Data
Charles Trent,2024-01-25 01:59:24,gb,27000000,,59462215180,All Data
Arch-Con,2024-09-13 20:08:06,us,270000000,,860595621595,All Data
VIcom Corporation,2024-09-13 20:56:04,us,100000000,,264696631199,All Data
The Gill Corporation,2024-07-29 22:12:24,us,272000000,,33767054,"HR Confidential, Financial Reports, Contracts, All Data, Strictly Confidential, Information Technology"
Multisuns Communication,2024-07-04 15:58:53,tw,,,5138857962,"All Data, HR, Database"
ACS,2024-02-17 16:58:55,us,,,Undisclosed,
Santa Rosa,2024-07-19 04:52:12,ar,60000000,,258444456146,All Data
Bradford Health,2024-01-04 01:07:18,us,110000000,,679091506902,"Medical Records, Employee data and Business data (agreements, contracts, NDA), Agreement Samples, SQL Backups, All Data (w/o SQL Backups)"
Kablutronik SRL,2024-04-13 18:12:32,ro,20000000,,79129044494,All Data
Fred Hutchinson Cancer Research Center,2023-12-18 03:02:48,us,948000000,,533065564675,All of the Data
Central Power Systems and Services,2024-04-25 03:32:59,us,71000000,,1323909136295,All Data
Beaver Run Resort,2024-04-04 02:13:12,us,38600000,,35188383,"All Data, Samples"
Homeland Inc.,2023-11-13 20:00:00,us,43500000,,204090969595,All Data
Casco Antiguo,2024-08-06 22:21:37,es,10400000,,Undisclosed,
Treasury of Cote d'Ivoire,2024-08-28 18:57:39,ci,392000000,,Undisclosed,
